0.050,-1.102,1.313,9.644,5.188,0.610
0.011,-1.148,1.477,6.287,19.287,10.254
-0.116,-1.117,1.608,-5.432,27.100,15.503
-0.213,-1.027,1.493,-36.133,47.974,36.804
-0.371,-0.801,0.998,-46.143,66.772,46.265
-0.407,-0.646,0.661,-51.392,89.661,45.105
-0.415,-0.468,0.291,-39.856,120.789,20.203
-0.367,-0.271,-0.564,-22.583,142.029,8.057
-0.283,-0.396,-0.994,36.865,171.020,-28.015
0.049,-0.846,-1.512,69.092,169.922,-57.617
0.259,-1.052,-1.574,107.666,140.015,-97.961
0.569,-1.352,-1.401,102.966,112.305,-89.111
0.594,-1.435,-1.272,78.857,30.762,-18.677
0.401,-1.458,-0.949,68.787,-6.165,18.921
0.273,-1.383,-0.751,52.856,-29.114,40.649
0.166,-1.234,-0.556,5.920,-49.805,31.189
0.026,-0.875,-0.248,-7.996,-56.030,18.127
0.002,-0.805,-0.158,-1.221,-54.687,5.188
0.022,-0.875,-0.092,6.775,-50.598,-2.563
0.076,-1.243,0.996,11.841,27.283,-13.000
0.084,-1.263,1.111,6.897,36.865,-10.681
-0.001,-1.227,1.169,0.061,38.879,-0.122
-0.082,-1.168,1.102,-12.085,48.462,34.729
-0.228,-0.980,0.821,-13.794,60.120,49.133
-0.273,-0.867,0.620,-13.855,74.951,54.321
-0.295,-0.741,0.372,-11.902,102.173,42.908
-0.271,-0.552,-0.263,-10.376,114.136,36.804
-0.226,-0.541,-0.582,-3.540,149.780,2.869
-0.046,-0.679,-1.133,9.033,154.114,-24.414
0.086,-0.785,-1.293,46.692,132.385,-65.491
0.297,-1.047,-1.364,61.829,112.915,-66.956
0.352,-1.178,-1.298,69.824,88.379,-56.641
0.375,-1.277,-1.198,57.800,37.476,-23.682
0.360,-1.317,-0.949,41.138,16.968,-10.559
0.317,-1.241,-0.815,3.540,-16.846,2.136
0.185,-0.978,-0.538,-8.423,-30.762,6.165
0.130,-0.872,-0.386,-8.911,-47.241,14.038
0.054,-0.799,-0.130,-4.028,-49.255,14.587
0.234,-1.305,0.932,24.414,22.339,-15.442
0.197,-1.358,1.113,18.921,20.508,2.747
-0.014,-1.358,1.307,6.958,15.442,20.386
-0.161,-1.311,1.276,-24.170,13.611,51.941
-0.416,-1.084,0.945,-37.659,27.100,55.603
-0.460,-0.905,0.713,-46.204,50.476,47.119
-0.441,-0.705,0.460,-46.936,98.938,20.203
-0.323,-0.321,-0.217,-45.105,125.610,12.207
-0.228,-0.200,-0.643,5.127,146.423,2.808
0.067,-0.442,-1.420,46.448,141.602,-5.554
0.241,-0.731,-1.652,94.238,123.596,-39.490
0.541,-1.229,-1.779,96.863,106.628,-50.415
0.643,-1.400,-1.676,76.660,50.598,-36.255
0.649,-1.523,-1.271,53.833,18.188,-19.592
0.543,-1.405,-1.049,23.499,-12.024,-4.700
0.379,-1.181,-0.858,-27.832,-61.401,13.733
0.051,-0.803,-0.532,-31.860,-74.280,18.738
-0.021,-0.786,-0.395,-17.517,-71.411,8.484
0.017,-0.870,-0.246,-17.944,-63.171,-9.277
-0.009,-1.218,0.927,29.724,11.169,5.371
-0.064,-1.230,0.966,30.884,13.611,31.006
