-0.097,-1.248,-1.258,1.709,19.043,-52.917
-0.015,-1.269,-1.549,8.179,22.400,-100.037
0.206,-1.245,-1.699,7.629,11.047,-105.041
0.291,-1.098,-1.502,-26.489,-40.283,-70.251
0.281,-0.491,-0.879,-45.166,-66.467,-40.100
0.229,-0.227,-0.532,-37.537,-105.835,0.488
0.083,-0.132,0.071,-14.099,-121.460,4.639
0.001,-0.250,0.286,12.390,-131.653,1.953
-0.087,-0.391,0.469,60.059,-133.911,-3.113
-0.312,-0.771,0.799,88.135,-130.920,6.226
-0.440,-1.061,0.979,131.714,-123.535,36.804
-0.678,-1.591,1.261,128.845,-115.051,44.312
-0.757,-1.722,1.302,76.721,-75.989,39.185
-0.764,-1.709,1.164,46.265,-48.950,34.302
-0.682,-1.641,1.026,24.048,-22.034,32.898
-0.554,-1.576,0.866,1.648,21.912,37.476
-0.242,-1.420,0.531,-8.728,37.048,37.964
-0.096,-1.305,0.372,-34.180,51.758,34.729
0.120,-1.058,0.076,-43.030,52.490,34.18
0.136,-1.228,-1.299,-33.630,9.399,-69.885
0.204,-1.137,-1.380,-44.250,-14.771,-78.308
0.246,-0.898,-1.327,-44.617,-37.415,-59.875
0.234,-0.739,-1.165,-47.913,-82.947,-31.189
0.162,-0.347,-0.729,-49.194,-97.290,-32.593
0.159,-0.223,-0.458,-30.396,-110.596,-49.866
0.136,-0.225,0.035,-12.756,-115.723,-52.307
0.093,-0.331,0.209,29.358,-118.835,-39.917
-0.071,-0.656,0.483,50.110,-119.324,-31.555
-0.190,-0.861,0.642,70.129,-120.728,-20.447
-0.327,-1.094,0.803,94.421,-117.065,12.207
-0.592,-1.499,1.016,91.614,-106.873,25.757
-0.674,-1.600,1.057,67.444,-69.885,35.400
-0.700,-1.675,0.997,54.504,-48.218,37.292
-0.628,-1.684,0.933,28.137,-6.653,43.518
-0.400,-1.589,0.693,11.963,10.925,46.326
-0.261,-1.489,0.536,-18.250,37.476,46.936
0.025,-1.241,0.255,-28.687,44.312,45.166
0.142,-1.119,0.143,-35.217,45.654,43.213
0.082,-1.194,-1.274,-21.240,13.306,-30.396
0.203,-1.188,-1.623,-43.396,23.010,-80.627
0.424,-1.092,-2.081,-49.072,14.893,-98.328
0.495,-1.019,-2.011,-63.782,-33.081,-106.201
0.453,-0.551,-1.345,-80.078,-62.744,-92.285
0.358,-0.250,-0.940,-85.327,-109.009,-42.603
0.103,0.015,-0.203,-64.758,-123.352,-29.663
-0.040,-0.091,0.114,0.244,-127.869,-31.982
-0.264,-0.542,0.599,30.640,-122.131,-32.959
-0.348,-0.775,0.821,55.054,-118.347,-25.208
-0.457,-0.976,1.038,84.106,-124.268,21.606
-0.761,-1.328,1.348,93.567,-125.427,50.476
-0.886,-1.519,1.404,106.445,-95.276,71.533
-0.887,-1.795,1.316,98.511,-64.453,56.519
-0.762,-1.808,1.193,51.514,0.000,21.790
-0.392,-1.660,0.831,27.832,22.888,19.531
-0.198,-1.575,0.623,-2.808,42.542,30.945
0.126,-1.389,0.286,-15.747,42.419,34.180
0.225,-1.280,0.137,-28.809,38.513,34.302
0.164,-1.584,-1.286,-12.939,-35.583,-82.581
0.193,-1.336,-1.264,-3.967,-63.293,-71.045
0.194,-0.705,-0.792,6.165,-72.693,-39.551
0.150,-0.459,-0.493,15.259,-83.740,13.672
0.031,-0.136,0.173,20.996,-87.585,23.865
-0.059,-0.113,0.482,35.156,-91.492,29.541
-0.160,-0.200,0.705,84.534,-83.191,46.936
-0.283,-0.608,1.000,111.267,-70.557,51.392
-0.289,-0.848,1.174,134.766,-46.448,41.443
-0.268,-1.167,1.422,118.530,-38.391,36.255
-0.276,-1.243,1.371,70.251,-14.648,40.649
-0.223,-1.383,1.144,58.167,0.427,44.434
-0.160,-1.463,1.003,41.077,22.034,41.382
0.042,-1.492,0.743,26.001,27.405,33.997
0.138,-1.425,0.624,7.141,28.381,27.527
0.205,-1.336,0.523,-20.691,22.034,32.104
0.257,-1.165,0.366,-25.635,16.235,38.757
0.250,-1.092,0.305,-28.809,3.601,43.396
0.213,-0.988,0.231,-29.968,-0.427,41.870
0.025,-1.602,-1.269,-12.451,-20.325,-45.349
0.110,-1.573,-1.667,0.916,-51.514,-75.134
0.359,-1.218,-1.750,21.118,-66.589,-59.875
0.455,-0.962,-1.388,39.856,-98.511,-1.648
0.325,-0.374,-0.565,21.973,-112.976,19.043
0.161,-0.157,-0.184,7.202,-116.577,50.110
-0.210,-0.266,0.488,32.532,-111.511,58.228
-0.336,-0.493,0.786,107.910,-92.041,45.410
-0.410,-0.906,1.326,128.296,-77.271,33.875
-0.397,-1.081,1.585,132.202,-61.218,32.654
-0.394,-1.230,1.773,96.436,-37.170,58.472
-0.423,-1.383,1.762,66.284,-23.926,69.336
-0.393,-1.378,1.598,14.832,9.888,61.707
-0.172,-1.293,1.157,1.404,23.926,48.462
-0.019,-1.251,0.935,-2.930,33.508,35.828
0.130,-1.215,0.744,1.282,42.847,23.865
0.366,-1.157,0.469,1.465,43.762,23.499
0.427,-1.140,0.338,-8.057,35.400,21.667
0.477,-1.133,0.075,-14.099,28.748,17.517
0.044,-1.539,-0.834,-6.165,-21.484,-55.359
0.086,-1.487,-1.073,-2.625,-45.654,-83.008
0.197,-1.088,-1.146,7.385,-54.443,-65.186
0.233,-0.898,-1.053,31.860,-67.139,11.963
0.232,-0.598,-0.772,34.851,-69.031,36.316
0.200,-0.465,-0.564,24.841,-62.866,29.297
0.109,-0.296,-0.053,28.992,-58.716,15.930
0.079,-0.363,0.192,47.424,-55.115,7.507
0.075,-0.518,0.427,108.093,-45.288,9.460
0.074,-0.886,0.974,123.169,-41.321,15.198
0.016,-1.052,1.220,98.694,-42.480,35.217
-0.168,-1.272,1.511,74.219,-40.527,49.866
-0.262,-1.333,1.540,27.649,-18.066,69.885
-0.318,-1.386,1.463,8.606,-0.366,65.857
-0.242,-1.341,1.361,-8.850,15.747,52.307
-0.123,-1.267,1.213,-28.992,35.950,28.198
0.137,-1.168,0.871,-25.085,40.955,26.062
0.234,-1.153,0.714,-10.315,41.626,27.161
0.365,-1.122,0.469,-11.292,39.124,24.109
-0.112,-1.221,-0.939,-90.454,-27.344,-81.543
-0.156,-1.133,-1.019,-82.825,-43.884,-44.312
-0.234,-0.919,-1.055,-76.599,-55.237,-19.226
-0.255,-0.805,-1.002,-69.336,-76.965,14.038
-0.221,-0.534,-0.710,-67.383,-84.106,18.860
-0.188,-0.407,-0.487,-48.096,-90.149,22.644
-0.162,-0.308,-0.038,-25.452,-89.966,28.381
-0.138,-0.360,0.153,3.662,-87.585,37.109
0.004,-0.569,0.589,64.087,-81.787,49.622
0.042,-0.685,0.805,87.036,-84.534,52.551
0.036,-0.826,0.991,120.300,-94.604,65.369
-0.111,-1.163,1.238,127.747,-96.863,72.021
-0.226,-1.294,1.314,112.305,-82.458,77.209
-0.367,-1.409,1.383,91.858,-65.247,72.876
-0.355,-1.407,1.349,43.396,-26.550,51.880
-0.229,-1.328,1.115,22.095,-11.169,43.640
-0.158,-1.279,0.933,-5.249,10.742,44.189
-0.021,-1.196,0.553,-11.658,19.409,46.692
0.049,-1.168,0.393,-13.916,26.794,44.739
0.255,-1.232,-1.365,-22.400,-0.183,-80.811
0.284,-1.119,-1.632,-10.376,-9.277,-91.736
0.318,-0.913,-1.734,5.798,-21.790,-72.510
0.317,-0.820,-1.485,12.695,-71.045,-20.996
0.183,-0.501,-0.706,-6.226,-98.145,-6.592
0.055,-0.302,-0.318,-25.879,-115.845,-1.038
-0.209,-0.194,0.265,-13.062,-112.854,9.460
-0.265,-0.341,0.465,21.606,-96.924,17.944
-0.261,-0.573,0.640,89.722,-66.345,16.296
-0.202,-1.040,0.989,106.079,-60.547,6.287
-0.183,-1.234,1.161,93.811,-64.209,2.869
-0.268,-1.493,1.379,71.960,-72.021,8.545
-0.358,-1.575,1.415,24.048,-69.641,20.813
-0.427,-1.594,1.387,-1.892,-53.528,23.254
-0.379,-1.517,1.291,-25.757,-30.701,25.635
-0.283,-1.407,1.133,-48.035,20.935,39.490
-0.028,-1.152,0.731,-45.410,42.114,44.922
0.089,-1.044,0.546,-26.062,57.800,39.673
0.238,-0.929,0.217,-15.503,55.420,30.273
0.090,-1.150,-0.968,-18.005,-4.028,-64.636
0.113,-1.028,-1.089,-21.057,-14.832,-80.078
0.139,-0.682,-1.094,-17.151,-25.635,-59.143
0.122,-0.533,-1.041,3.296,-53.833,9.766
0.053,-0.385,-0.867,15.564,-64.148,32.654
0.046,-0.381,-0.721,25.635,-68.604,36.621
0.070,-0.407,-0.545,37.903,-61.890,-3.357
0.160,-0.485,-0.139,43.518,-55.786,-29.480
0.176,-0.562,0.031,60.852,-50.598,-46.204
0.124,-0.840,0.343,74.646,-50.293,-30.945
0.054,-1.048,0.511,94.543,-53.345,12.512
-0.128,-1.466,0.828,91.125,-52.246,23.743
-0.192,-1.599,0.971,44.189,-42.847,15.076
-0.265,-1.696,1.158,13.062,-37.964,6.287
-0.273,-1.704,1.226,-12.329,-32.715,5.493
-0.277,-1.711,1.256,-46.387,-20.691,26.672
-0.238,-1.640,1.171,-61.279,-10.986,36.804
-0.169,-1.517,1.054,-75.867,18.860,45.105
0.030,-1.225,0.767,-65.735,35.889,49.377
0.062,-1.259,-0.996,9.216,5.188,-40.039
0.108,-1.161,-1.114,-10.010,-18.555,-28.870
0.105,-0.838,-1.185,-16.724,-37.537,-5.859
0.052,-0.712,-1.137,-13.306,-76.599,25.635
-0.083,-0.542,-0.834,-13.428,-90.454,21.240
-0.164,-0.486,-0.630,-19.592,-98.938,-6.470
-0.226,-0.424,-0.088,-14.587,-91.064,-15.991
-0.216,-0.416,0.200,16.052,-75.378,-9.338
-0.193,-0.618,0.649,39.734,-73.242,5.066
-0.198,-0.849,0.791,64.880,-72.876,22.766
-0.220,-1.110,0.866,85.571,-69.885,42.725
-0.298,-1.440,0.925,75.195,-64.575,40.649
-0.345,-1.486,0.936,37.903,-48.218,34.973
-0.383,-1.535,0.956,22.461,-39.856,36.499
-0.378,-1.528,0.936,-7.751,-26.672,39.429
-0.312,-1.388,0.779,-21.606,-18.982,39.917
-0.234,-1.290,0.670,-35.156,-2.258,39.795
-0.057,-1.115,0.448,-34.973,4.089,39.124
0.017,-1.061,0.347,-30.884,8.484,38.086
