aX,aY,aZ,gX,gY,gZ
0.232,-1.003,-0.398,-20.02,3.54,18.25
0.236,-0.958,-0.393,-13.733,3.967,6.897
0.249,-0.917,-0.37,-9.094,3.906,4.517
0.255,-0.911,-0.358,-3.967,2.625,2.136
0.253,-0.909,-0.34,-2.93,1.709,1.038
0.242,-0.909,-0.336,-3.296,0.366,-3.784
0.212,-0.885,-0.336,-4.639,0.061,-6.287
0.197,-0.866,-0.338,-5.432,-0.244,-7.141
0.259,-2,-0.984,224.915,82.458,-100.342
0.349,-2.231,-0.983,134.949,36.682,-33.081
0.362,-2.122,-0.87,78.918,10.559,1.099
0.277,-1.966,-0.793,10.254,-28.076,55.725
0.1,-1.717,-0.637,-3.845,-33.142,60.913
0.083,-1.598,-0.565,-9.155,-22.949,45.166
0.21,-1.391,-0.484,-11.597,-13.672,34.546
0.285,-1.315,-0.475,-16.235,-3.723,23.193
0.363,-1.223,-0.486,-16.296,-3.296,20.508
0.368,-1.189,-0.484,-16.541,-3.723,16.602
0.335,-1.083,-0.465,-18.799,-2.991,5.981
0.319,-1.025,-0.446,-17.761,-1.587,2.197
0.313,-0.974,-0.421,-11.841,2.136,-2.93
0.308,-0.908,-0.376,-9.766,3.54,-5.31
0.302,-0.893,-0.364,-7.385,5.066,-11.108
0.277,-0.881,-0.355,-6.531,5.554,-14.404
0.26,-0.875,-0.353,-6.775,5.92,-19.287
0.225,-0.847,-0.351,-7.568,5.371,-20.691
0.208,-0.827,-0.351,-7.812,4.639,-20.691
0.188,-1.995,-0.904,245.178,113.586,-146.973
0.28,-2.31,-0.96,170.044,66.406,-92.59
0.341,-2.522,-0.946,115.601,37.781,-57.129
0.269,-2.416,-0.893,18.677,-13.855,4.272
0.046,-2.085,-0.72,-10.986,-28.503,27.527
-0.025,-1.918,-0.619,-27.71,-32.654,53.589
-0.001,-1.609,-0.467,-23.743,-29.602,59.021
0.063,-1.482,-0.432,-22.339,-24.597,58.228
0.137,-1.368,-0.418,-26.245,-15.747,49.5
0.229,-1.185,-0.42,-26.855,-14.282,45.837
0.234,-1.117,-0.417,-26.917,-13,35.4
0.214,-0.971,-0.393,-26.55,-11.414,26.733
0.208,-0.9,-0.379,-20.569,-5.249,10.498
0.218,-0.807,-0.343,-14.893,-1.831,5.127
0.228,-0.79,-0.333,-1.831,2.869,-1.465
0.247,-0.822,-0.322,3.54,4.211,-2.625
0.246,-0.851,-0.323,5.005,3.601,-5.615
0.223,-0.859,-0.327,1.343,2.625,-8.057
0.209,-0.844,-0.328,-2.625,1.77,-9.888
0.137,-1.663,-0.797,222.351,62.012,-110.352
0.139,-1.924,-0.902,161.011,32.104,-74.28
0.204,-2.061,-0.864,124.268,21.973,-52.307
0.186,-1.999,-0.78,60.608,-4.944,-0.793
0.047,-1.814,-0.665,41.382,-17.334,26.917
0.011,-1.743,-0.617,12.451,-20.691,42.847
0.04,-1.522,-0.512,2.563,-15.259,34.485
