aX,aY,aZ,gX,gY,gZ
1.409,-0.718,0.029,11.78,-6.47,-23.193
1.461,-0.752,-0.225,26.123,-31.738,-11.414
1.37,-0.857,-0.289,53.772,-88.074,19.165
0.894,-1.085,-0.31,55.237,-116.272,26.184
0.539,-1.117,-0.275,41.138,-158.997,33.02
-0.194,-1.162,-0.187,35.889,-166.077,44.861
-0.518,-1.243,-0.158,32.41,-162.72,59.265
-0.785,-1.323,-0.124,21.24,-132.08,61.218
-1.127,-1.379,-0.042,15.076,-110.596,47.058
-1.196,-1.373,0.007,6.226,-63.904,19.348
-1.167,-1.309,0.081,1.892,-45.349,15.991
-1.1,-1.267,0.091,-10.986,-16.479,24.841
-0.901,-1.153,0.068,-17.09,-4.578,25.452
-0.767,-1.071,0.06,-20.874,14.099,16.785
-0.482,-0.936,0.06,-19.653,21.118,11.169
-0.35,-0.902,0.052,-11.902,29.785,-2.38
-0.098,-0.869,0.038,-8.606,32.715,-9.033
0.018,-0.865,0.022,-6.348,34.912,-13.672
1.363,-0.721,0.266,9.949,20.935,2.93
1.59,-0.68,0.106,32.349,-9.094,15.198
1.706,-0.858,-0.16,50.232,-36.804,23.437
1.526,-1.02,-0.23,60.12,-103.21,26.855
0.794,-1.242,-0.269,48.157,-130.92,20.02
0.348,-1.266,-0.234,30.457,-149.902,12.878
-0.407,-1.165,-0.087,-4.272,-155.273,18.25
-0.664,-1.103,0.005,-13.245,-143.982,28.381
-0.879,-1.06,0.087,-10.071,-108.398,40.649
-1.148,-1.055,0.241,-4.761,-85.083,41.382
-1.185,-1.057,0.302,0.793,-31.677,34.546
-1.109,-1.024,0.37,-0.244,-7.874,33.02
-1.033,-1.02,0.387,2.93,19.531,28.198
-0.844,-1.007,0.374,5.798,23.193,24.231
-0.714,-0.99,0.351,8.85,25.085,14.221
-0.428,-0.957,0.277,9.827,22.278,7.507
-0.308,-0.952,0.233,10.498,18.616,1.282
-0.206,-0.948,0.203,8.911,19.714,-9.399
-0.021,-0.938,0.187,7.874,21.24,-14.526
1.247,-0.842,-0.271,7.446,21.24,10.62
1.364,-0.82,-0.419,25.146,-35.522,34.729
1.365,-0.863,-0.571,33.752,-77.698,46.082
1.167,-0.846,-0.54,41.443,-169.434,69.519
0.423,-0.818,-0.419,49.194,-205.261,84.778
-0.011,-0.937,-0.361,75.134,-230.347,95.52
-0.642,-1.262,-0.184,70.435,-212.952,78.247
-0.785,-1.309,-0.096,48.523,-180.115,48.096
-0.835,-1.251,-0.03,1.77,-106.75,-5.615
-0.825,-1.121,0.033,-0.488,-79.529,-10.437
-0.816,-1.146,0.036,16.357,-42.114,1.404
-0.779,-1.206,0.019,16.663,-25.269,-0.427
-0.725,-1.18,0.016,3.723,6.714,-15.564
-0.534,-1.088,-0.008,-0.793,18.311,-18.372
-0.418,-1.05,-0.028,-0.366,28.992,-12.024
-0.224,-1.003,-0.074,1.526,29.846,-8.545
-0.156,-0.99,-0.095,3.296,30.09,-7.751
-0.094,-0.977,-0.107,6.348,31.128,-10.803
0.038,-0.956,-0.112,7.568,31.494,-10.925
1.205,-0.766,0.272,-17.578,41.931,-15.991
1.469,-0.645,0.155,-9.277,24.963,-6.287
1.917,-0.493,-0.178,9.033,9.155,10.925
2.037,-0.515,-0.276,55.847,-45.715,34.302
1.811,-0.681,-0.347,66.589,-85.632,25.208
